fname,summary
test_0,"Ms. Dawson은 #Person1#에게 사내 메모를 통해 모든 직원에게 메시지를 전달하고, 즉시 메시지는 이메일과 공식 메모로만 제한된다고 설명합니다. 이는 사무실에서는 즉시 메시 사용이 금지되며, 두 번째 위반 시 해고될 수 있습니다. 이번 정책에 관한 질문은 부서장이 답변할 것입니다. Ms는 오늘 오후 4시까지 메모를 작성하고 배포하라고 요청하며, 그 메모를 사용할 것을 지시합니다. 또한, 사내 메모는 즉시 사용 시 경고 후 시정 조치가 내려질 수 있다고 안내합니다. 이 정책에 대해 부서장에게 문의합니다. 이번 정책에 대한 자세한 정보를 제공하기 위해 부서장은 부서장에게 연락합니다. 부서장은 추후 통보하겠다고 합니다. 이 정책에 대한 세부 사항을 미리 작성하면 많은 시간이 낭비되지 않기 때문입니다."
test_1,"#Person2#는 출퇴근 시간이 되면 교통체증을 피할 수 있는 방법으로 대중교통을 이용하는 것이 좋겠다고 제안합니다. 또한, 환경 문제를 언급하며 출근할 때 차를 이용하지 않는 것이 낫다고 권유합니다. #Ferson1#은 자전거로 출근하라고 제안하지만, #Pson2a는 그것이 자신에게 맞지 않다고 생각합니다. # Free는 환경 보호를 위해서도 필요하다고 판단합니다. 결국, 그들은 함께 출근하기로 합니다. 대화는 자연스럽게 자연스레 진행됩니다. 대화는 서로의 의견을 나눕니다. 대화의 진행은 자연스럽게 이루어집니다. 결과는 서로의 책임에 따라 결정됩니다. 갈등이 지속됩니다. 결론적으로, 그들은 모두 환경에 좋지 않다는 것을 깨닫게 됩니다. 그들은 출근 시 차의 자유로움을 그리워할 것입니다."
test_2,#Person1#은 Kate에게 Masha와 Hero가 두 달 동안 별거 중이며 결국 이혼을 신청했다고 전합니다. Kate는 그들이 완벽한 커플이었다고 생각합니다. 그들은 새해 즈음에 이혼이 확정될 예정입니다. Kate의 이혼은 아마도 새해 초쯤 이루어질 것입니다. Kate도 이 소식을 믿기지가 않습니다. 그들은 결혼 날짜를 조율하고 있습니다. Kate가 이혼을 확정할 시점은 아마도 새해 말쯤이라고 생각합니다. 그녀는 아마 그때쯤인 것 같습니다. 그녀도 그럴 거라고 생각합니다. Keith는 그 소식에 놀랍니다. 그들은 둘은 결혼할 예정입니다. 그들은 이제 신혼여행을 계획 중입니다. 그들은 곧 이혼이 결정될 것입니다. 그들은 아이들을 돌보러 갈 예정입니다.
test_3,"#Person1#은 Brian의 생일을 축하하며 선물로 목걸이를 주고, 파티를 즐기기 위해 함께 한 잔 하자고 제안합니다. 그들은 서로에게 감사를 표합니다. 이후 Briun은 파티를 승리로 마무리하고 함께 한잔 하자고 합니다. 그들은 다음 날 생일 파티에 대해 이야기합니다. 그들은 사랑을 표현합니다. Bri안은 그녀의 아름다운 목걸이에 대해 감사함을 느낍니다. 그들은 내일 생일 파티를 계획하고 있습니다. 이를 기념한 후 술을 마시기로 합니다. 그들은 함께 잔을 하기로 합니다. 합니다. 그들은 노래를 부를 예정입니다. 이를 축하하고 난 후 식사가 시작됩니다. 그들은 노래를 부르기로 합니다. 그러고 나서도 됩니다. 그들은 한 잔 할 것입니다. 이를 기념하고 난후로 노래를 부릅니다."
test_4,"#Person2#는 올림픽 공원의 중심인 올림픽 스타디움에 위치하고 있으며, 이번 6월에 완공될 예정이라고 설명합니다. 또한 이 공원은 외국인 방문객을 위한 영어 번역된 표지판도 많이 설치되어 있다고 말합니다. 하지만 그 공원의 위치가 크지 않다는 점도 지적합니다. 이에 대해 둘은 협력합니다. 둘은 공원 내 시설에 대해 이야기합니다. 그들은 외국인 방문자를 위한 표지판을 추가로 발견합니다. 그들은 등산 금지라는 사실을 알게 됩니다. 그들은 동의합니다. 그들은 안내를 받습니다. 그들은 또한 표지판에 대해서도 논의합니다. 그들은 기념품도 교환할 예정입니다. 그들은 내일 다시 만나기로 합니다. 그들은 함께 기념품을 구매하기로 결정합니다. 그들은 또한 관광 안내 책자도 교환할 계획입니다."
test_5,"#Person1#은 사업 계획서를 작성하고 투자자를 모아 사업을 시작할 것이라고 말합니다. 이 과정이 쉽지만은 않을 것 같습니다. #Fred는 사업 아이디어를 요약한 부분이 포함되어야 하고, 상품 및 서비스를 소개하고 시장 분석과 사회경제적 요인을 포함해야 한다고 설명합니다. #Mr. Smith는 사업 시작의 번거로움을 피하기 위해 예전 일을 하는 것이 좋겠다고 제안합니다. 그들은 사업 개시의 필요성을 인식하고, 금융 분석에서 투자자들에게 가장 중요한 정보는 투자 수익을 추정하는 것이라고 동의합니다. #All Number##은 이제 더 오래 일하기로 결정합니다. 그들은 사업에 대한 피드백을 요청합니다. 그들은 비용 절감 방안을 논의하며 새로운 사업 모델의 개발도 제안합니다."
test_6,"#Person2#는 간지러움을 느낀다. 수두에 걸린 것 같다고 생각하며 오트밀 목욕을 제안받는다. #Ferson1#은 이에 동의하지 않는다. 그들은 함께 목욕을 하기로 결정한다. #Freeflex는 자신의 위험성에 대해 이야기한다. 대화 후 그들은 휴식을 취하기로 한다. 결국 그들은 헤어질 예정이다. 그러고 나서 그들은 다시 만나기로 한다. 대화는 끝난다. 대화는 끝나고, 둘은 서로의 근황에 대해 이야기하는 대화로 끝난다. 이후 그들은 각자 좋아하는 음식을 먹으러 가기로 한다. 그러고 나서, 그들은 데이트 신청을 한다. 그들은 자연스럽게 목욕으로 끝난다. 그러나 결국 그들은 대화를 마무리한다. 대화는 마무리된다. 그 후, 그들은 각자의 계획에 대한 계획을 세운다."
test_7,#Person2#는 세탁 서비스 요금에 착오가 있어 체크아웃을 진행합니다. #person1#이 문제 해결을 위해 관련 부서에 확인하라고 제안합니다. #Prish는 검토 후 청구서를 수정하기로 합니다. 이후 #Fred가 다시 방문하여 확인 절차를 진행합니다. 최종적으로 합의합니다. 페이지는 작성되지 않습니다. 페이지는 삭제됩니다. 페이지는 사용될 예정입니다. 페이지는 사용하지 않기로 결정합니다. 페이지가 작성되면 페이지는 사용할 수 있습니다. 페이지는 해당 부서에 연락할 것입니다. 페이지는 페이지를 넘기면 페이지를 닫힙니다. 페이지샵은 이를 확인해야 합니다. 페이지는 곧 페이지를 열립니다. 주인은 확인받습니다. 페이드는 작성자는 페이지를 열어둡니다.
test_8,#Person1#은 스티븐에게 아내가 비서와 바람피운 것을 알게 되어 이혼을 결심했다고 말한다. 스티븐은 이를 받아들이고 아내에게 충실하겠다고 약속한다. 그녀는 이혼을 다시 생각해보도록 설득하려 하지만 이제부터가 중요하다고 강조한다. 스티븐도 이에 동의한다. 그는 충고를 따르겠다고 약속한다. 그들은 결혼 10년째에 접어든 현재 스티븐의 아내에 대한 감정을 공유한다. 스티튼은 여전히 아내를 사랑한다고 답한다. 스티스티븐은 이에 감명 깊게 여긴다. 그는 자신의 결정을 존중하기로 한다. 스티븐이 아내에게 맹세할 것이다. 그는 결심할 것이다. 그녀는 여전히 아내를 신뢰할 것이라고 덧붙인다. 그는 여전히 아내를 소중히 여긴다고 말한다. #Mr.
test_9,#Person2#는 사람 중 누가 더 인품이 뛰어나다고 생각하십니까????! 그들은 아브라함 링컨과 평등한 권리를 위한 싸움을 했던 링컨을 존경합니다. 그들은 그들이 개인적으로 만나보고 싶었을 것이라고 생각합니다. 그들은 서로에게 큰 비전이 있었기에 가능한 일이었다고 합니다. 그들은 또한 링컨의 정치에 대해 이야기합니다. 그들은 개인적으로 만나고 싶었을 것입니다. 그들은 개인적으로 만나볼 것을 제안합니다. 그들은 또한 대화를 나눕니다. 대화는 자연스럽게 진행됩니다. 결론은 여기서 결정합니다. 결론은 출산입니다. 출산은 곧 출산입니다. 그녀는 출산은 예정입니다. 출산일은 다가옵니다. 출산은 목요일 출산입니다. 아기는 출산입니다. 딸은 출산 후 건강은 괜찮습니다. 출산은 계획적으로 출산은 가능합니다.
