fname,summary
test_0,Ms. Dawson은 오늘 오후까지 모든 직원들에게 사내 메모를 작성하도록 요청합니다. 이는 즉시 메시지 사용이 금지되기 때문입니다. #Person1#은 사내 통신에 적용된다고 알려줍니다. 하지만 많은 직원들이 메시지를 즉시 사용하는 것에 불만을 가집니다. 이에 따라 부서장은 메모를 다시 작성하고 배포하라고 지시합니다. 메모가 곧 부서장에게 전달될 예정입니다. 그녀는 오늘 오후 4시까지 작성한 후 이메일을 통해 배포할 계획입니다. 부장은 해당 정책에 대해 부서장에게 문의할 것입니다.
test_1,"#Person2#의 교통체증이 길어져서 출근할 때 대중교통을 이용하는 것이 더 나은 선택일 수 있다고 생각합니다. 또한, 다른 교통수단이 없을 경우 자전거로 출근하라고 제안하며, 출근 시 차보다는 자전거를 타기로 결정합니다. #Fred는 이에 동의합니다. 그들은 또한 출근 시 자동차를 타지 않기로 결정하고, 이에 대해 이야기를 나눕니다. 그들은 함께 운동을 하기로 합니다. Fred가 환경에 좋지 않다는 것을 인식하게 됩니다. 그들은 결국 차를 사용하지 않기로 결정합니다. Dina는 그립습니다."
test_2,"#Person1#은 Kate에게 Masha와 Hero가 이혼했다고 전하며, 두 달 동안 별거 중이었지만 결국 이혼 신청했다고 말합니다. Kate는 그들이 잘 어울리는 커플이라고 생각합니다. Kat은 새해 초에 이혼이 확정될 것이라고 생각합니다. #Masha는 곧 이혼이 확정된다고 합니다. Kate도 이에 놀라워합니다. 그들은 다음 해 초에 결혼할 예정입니다. Kate의 이혼 소식을 들은 사람들은 놀라움을 나타냅니다. Kate 또한 놀랍니다. 그들은 둘은 완벽한 커플이었습니다."
test_3,"#Person1#은 Brian의 생일을 축하하며 선물로 목걸이를 주고, 파티를 즐기기 위해 함께 한 잔 하자고 제안합니다. 그들은 서로에게 감사를 표합니다. 이후 Briun은 파티를 승리로 마무리하고 함께 한잔 하자고 합니다. 그들은 다음 날 생일 파티에 대해 이야기합니다. 그들은 사랑을 표현합니다. Bri안은 그녀의 아름다운 목걸이에 대해 감사함을 느낍니다. 그들은 내일 생일 파티를 계획하고 있습니다. 그래서 그들은 함께 음료를 마시기로 합니다. 그들은 행복합니다. 이를 축하하고요."
test_4,"#Person2#는 올림픽 공원의 중심인 올림픽 스타디움에 위치하고 있으며, 이번 6월에 완공될 예정이라고 설명합니다. 또한 이 공원은 외국인 방문객을 위한 영어 번역된 표지판도 많이 설치되어 있다고 말합니다. 하지만 그 공원의 위치가 크지 않다는 점도 지적합니다. 이에 대해 둘은 협력합니다. 둘은 공원 내 시설에 대해 이야기합니다. 그들은 외국인 방문자를 위한 표지판을 추가로 발견합니다. 그들은 등산 금지라는 사실을 알게 됩니다. 그들은 안내를 받습니다. 그들은 또한 표지판에 대해서도 이야기합니다."
test_5,"#Person1#은 사업 계획서를 작성하고 투자자를 모아 사업을 시작할 것이라고 말합니다. 이 과정이 쉽지만은 않을 것 같습니다. #Fred는 사업 아이디어를 요약한 부분이 포함되어야 하고, 상품 및 서비스를 소개하고 시장 분석과 사회경제적 요인을 포함해야 한다고 설명합니다. #Mr. Smith는 사업 시작의 번거로움을 피하기 위해 예전 일을 하는 것이 좋겠다고 제안합니다. 그들은 사업 개시의 필요성을 인식하고, 금융 분석에서 투자자들에게 가장 중요한 정보인 금융 분석에 대해 논의합니다."
test_6,"#Person2#는 수두에 걸린 것 같다고 느끼고, #Ferson1#에게 가까이 오지 말고 오트밀 목욕을 하라고 제안합니다. #Free는 그것이 바이오 위협이라고 생각합니다. 그러나 #Fresh는 자신의 생각을 바꾸지 않습니다. #Fore는 자신이 일을 크게 만들 것이라고 말합니다. 결국 #Pson1;는 동의합니다. 그들은 오트 밀을 마시기로 합니다. 그 후, 둘은 함께 목욕을 하기로 합니다. 이는 최근의 유행에 따른 것입니다. 것입니다."
test_7,#Person2#는 세탁 서비스 요금에 착오가 있어 체크아웃을 진행합니다. #person1#이 문제 해결을 위해 관련 부서에 확인하라고 제안합니다. #Prish는 검토 후 청구서를 수정하기로 합니다. 이후 #Fred가 다시 방문하여 확인 절차를 진행합니다. 최종적으로 합의합니다. 페이지는 작성되지 않습니다. 페이지는 삭제됩니다. 페이지는 사용될 예정입니다. 페이지는 사용하지 않기로 결정합니다. 페이지가 작성되면 페이지는 사용할 수 있습니다. 페이지는 해당 부서에 통보됩니다.
test_8,#Person1#은 스티븐에게 아내가 비서와 바람피운 것을 알게 되어 이혼을 결심했다고 말한다. 스티븐은 이를 받아들이고 아내에게 충실하겠다고 약속한다. 그녀는 이혼을 다시 생각해보도록 설득하려 하지만 이제부터가 중요하다고 강조한다. 스티븐도 이에 동의한다. 그는 충고를 따르겠다고 약속한다. 그들은 결혼 10년째에 접어든 현재 스티븐의 아내에 대한 감정을 공유한다. 스티튼은 여전히 아내를 사랑한다고 답한다. 스티스티븐은 이에 감명 깊게 여긴다.
test_9,#Person2#는 사람 중 누가 더 인품이 뛰어나다고 생각하십니까????! 그들은 아브라함 링컨과 평등한 권리를 위한 싸움을 했던 링컨을 존경합니다. 그들은 그들이 개인적으로 만나보고 싶었을 것이라고 생각합니다. 그들은 서로에게 큰 비전이 있었기에 가능한 일이었다고 합니다. 그들은 또한 링컨의 정치에 대해 이야기합니다. 그들은 개인적으로 만나고 싶었을 것입니다. 그들은 개인적으로 만나볼 것을 제안합니다. 그들은 또한 대화를 나눕니다. 대화는 자연스럽게 진행됩니다. 결론은 여기서 결정합니다. 결론은 출산입니다.
