fname,summary
test_0,상사가 Ms. Dawson에게 즉시 메시지 사용 금지 정책 메모 작성을 지시함.
test_1,"두 동료가 교통체증과 환경 문제에 대해 논의하고, 대중교통과 자전거 타기로 출퇴근 방식을 바꾸기로 함."
test_2,"Kate와 Tom이 Masha와 Hero의 이혼에 대해 이야기함. 두 달간 별거 후 이혼 신청, Masha가 양육권 획득, 원만한 해결 과정, 새해 초 이혼 확정 예정."
test_3,Brian의 생일 파티에서 선물을 주고 함께 춤을 추며 즐거운 시간을 보냄.
test_4,"두 친구가 올림픽 공원의 중심인 올림픽 스타디움을 방문하며 완공 일정, 좌석 수, 시설 등에 대해 이야기함."
test_5,"Tom이 회사 일을 그만두고 사업을 시작하려 하지만, Mary가 사업 계획서 작성의 복잡성을 설명함."
test_6,발진을 보고 수두라고 의심하여 거리를 둠. 알레르기일 수 있다고 주장하며 오트밀 목욕을 하기로 함.
test_7,"손님이 체크아웃 중 세탁 서비스 요금 착오를 발견하고, 직원이 확인 후 청구서를 수정함."
test_8,스티븐이 친구의 아내를 속인 문제로 도움을 주기로 함.
test_9,두 사람이 아브라함 링컨의 인품과 업적에 대해 존경심을 표현함.
test_10,두 친구가 허베이 여행 계획 중 황사에 대해 걱정함.
test_11,"Francis의 생일 파티에서 친구가 선물을 줌. 친구는 원격 조종 자동차 모델을 선물하고, Francis는 기뻐함."
test_12,Tony가 시험 부정행위로 들켜 Steven에게 고백함. Steven은 Tony에게 실수에서 배우라고 조언함.
test_13,"톰이 기차를 놓칠까 걱정했으나, 동료가 시간이 충분하다고 안심시킴."
test_14,"삶의 조언을 구함. 충분한 수면, 와인 섭취 줄이기, 아침 운동, 미래에 대한 긍정적인 생각 등을 제안함."
test_15,두 친구가 Ruojia의 결혼 파티에 초대받음. 각자 선물을 준비하기로 함.
test_16,장난을 치며 사진을 찍자고 함. 처음에는 거부했지만 결국 사진을 찍음.
test_17,"여동생에 대해 묻고, 가 가족에 대해 설명함."
test_18,학교 직원이 아픈 학생에게 체온을 재고 결석 절차를 안내함.
test_19,"고객이 카메라, MP3 플레이어, 영상 통화 기능이 있는 새 휴대폰을 찾고 있음."
test_20,프랭크가 주디에게 우체국 직장의 장점을 설명함. 좋은 건강보험 혜택과 가족 무료 의료 서비스 제공이 주요 이유임.
test_21,지원자가 사무 업무 경험과 기술을 상세히 설명함.
test_22,손님이 미디엄 레어 스테이크를 잘 익은 것으로 받아 바꿔달라고 요청함.
test_23,Tom이 노벨상 수상 소식을 듣고 축하 파티를 열기로 함.
test_24,지원자가 자동차 디자인 전공과 과학 석사 학위를 바탕으로 직무 적합성을 설명함. 이전 직장에서 학생 엔지니어로 재료 연구 경험을 언급함.
test_25,"두 사람이 술 마시는 습관과 장소에 대해 이야기하고, 다음 날 밤에 함께 나가기로 계획함."
test_26,"엄마가 Mary에게 소풍 준비 도움을 요청함. Mary는 토스트와 치킨 윙을 준비하고, 엄마는 과일 샐러드와 크래커를 준비함. Mary는 소풍 용품 챙기기를 상기시키고, 엄마는 거실로 옮기는 것을 도와달라고 함. Mary는 혼자 할 수 있다고 답함."
test_27,James가 Muriel Douglas와 새 계정에 대해 만남. 두 사람은 휴일 계획과 영화에 대해 대화하며 Susan Kim이 합류함.
test_28,"ATM에서 돈을 인출하려다 실수로 큰 금액을 이체하고, 기계 오작동으로 인해 은행 보안이 출동함."
test_29,사교적이며 진심을 담아 대화하는 전략을 사용한다고 설명함.
test_30,"Mr. Polly가 상사에게 음료수를 사달라고 요청했으나, 상사가 그 가게에 있어 직접 가기로 함. 그러나 지갑에 4달러밖에 없어 구매 가능 여부는 불확실함."
test_31,상사와 직원이 보고서 검토 시간을 금요일 오후 1시부터 4시로 잡음.
test_32,"인터뷰 준비 워크숍에서 참가자들이 옷차림, 태도, 정직함의 중요성에 대해 논의함."
test_33,감독이 Mike에게 캐릭터의 분노 표현을 강조하도록 지시함.
test_34,이웃와 Mrs. Todd가 주말 계획과 이웃 방문에 대해 대화함.
test_35,피곤해 보이일찍 퇴근하고 쉬라고 권함. 또한의 형이 출장으로 미국에 몇 주 더 있을 예정임을 알게 됨. 친구와의 약속 시간을 확인하며 시계를 맞춤.
test_36,Simon이 Cleo에게 핵무기 확산 반대 시위에 가자고 제안했으나 Cleo는 거절함.
test_37,두 사람이 무심코 문을 열어준 경험에 대해 대화함.
test_38,Mark이 수업 시간에 졸려서 Maggie와 스터디 파트너가 되기로 함. 오늘 도서관에서 시작하기로 함.
test_39,직원가 학생에게 Turner 교수의 지질학 고급 과목 등록을 Burman 교수와 상의 후 허락하기로 함.
test_40,고객이 구매한 펜던트가 깨져 교환 요청함. 직원은 영수증을 확인한 후 10시까지 가게로 오면 새 것으로 교환해 주기로 함.
test_41,두 친구가 박싱 데이 세일과 스포츠 경기 시청 문제로 논쟁함.
test_42,두 친구가 미디어 직업에 대해 논의함. 스트레스가 적은 인터랙티브 미디어를 선호함.
test_43,Tom이 Mary에게 지루한 행사에서 시간을 보내도록 제안함.
test_44,"Tom과 Sarah가 이사 및 집 구매에 대해 논의함. Tom은 도시 중심에서 떨어진 곳에 집을 사는 것을 제안하고, Sarah는 그 아이디어에 관심을 보임."
test_45,"라디오 프로그램에서 런던의 영국 관광청 정보 담당관 Mark Leach를 소개하며, 그의 업무와 방문객에게 제공하는 관광 정보에 대해 이야기함."
test_46,"Lucy와 Lin Fang이 각자의 좋아하는 과목에 대해 이야기함. Lucy는 영어와 체육을, Lin Fang은 중국어와 과학을 좋아한다고 나눔."
test_47,"James가 Mrs. Thomas의 집안일을 도와주고, 개 산책도 제안함. James는 농구 연습을 위해 돈을 모으고 있으며, 다음 주말에는 여동생이 대신 도와줄 예정임."
test_48,"두 사람이 봄 날씨에 대해 이야기하며, 밤의 추위와 따뜻한 온도를 유지하기 위한 방법을 공유함."
test_49,감독이 Mike에게 캐릭터의 화난 느낌을 강조하도록 지시함. Mike는 캐릭터의 복잡한 감정을 표현하는 데 어려움을 겪음.
test_50,"손님이 택시기사에게 프렌드쉽 호텔로 급히 가달라고 요청하고, 요금을 지불함."
test_51,두 친구가 버스 요금 문제로 대화하며 해결책을 찾음.
test_52,"손님이 직원에게 시내까지의 거리, 동네의 회사들, 건물 내 회사의 위치, 회사 식당에 대해 질문함."
test_53,Lulu가 Vic과 헤어지고 전근 신청했다는 소식에 두 사람이 놀람.
test_54,"데이브 톰슨이 짐을 찾았지만, 짐은 외출 중이었고 샐리가 메시지를 전달함."
test_55,"한 사람이 다른 사람에게 시청 가는 길을 물어보고, 상대방이 자세히 설명함."
test_56,손님이 분실한 여권을 백화점 직원이 함께 찾아보기로 함.
test_57,국제 학생 사무실의 Leah가 Ms. Collins 대신 Ms. Fonda와의 약속을 잡음.
test_58,두 친구가 Sarah가 Dick과 결혼할 계획에 대해 놀람과 이해를 표현함.
test_59,파티에서 Tom이 Mary에게 말 걸기를 망설이는 친구를 격려함.
test_60,"Jack이 이번 학기 정치학 수업을 좋아했지만, 작년에 들은 비즈니스 커뮤니케이션 수업이 가장 좋았다고 말함. 친구가 그 수업을 추천받아 듣기로 함."
test_61,"두 사람이 날씨에 대해 이야기하며, 베이징의 계절별 특징과 환경 개선에 대해 언급함."
test_62,"두 친구가 공포, 탐정, 코미디, 멜로 영화를 제외하고 전쟁 영화를 보기로 결정함."
test_63,"Adam이 학교 안내를 하며 도서관, 고등학교 교실, 수영장에 대해 설명함."
test_64,남편이 아내에게 임신을 알리며 기쁨을 나눔.
test_65,"두 사람이 John과 그녀의 빈번한 데이트에 대해 이야기하며, 그가 그녀에게 빠진 것 같고 잘 어울리는 커플이라고 동의함."
test_66,"시스템 업그레이드 제안: 그림 그리기 프로그램 추가, 빠른 프로세서, 강력한 하드 디스크, 더 많은 메모리, 빠른 모뎀, CD-ROM 드라이브 필요."
test_67,"택시 승객과 운전사가 여행, 국적, 언어에 대해 대화함."
test_68,두 친구가 체중 감량에 대해 이야기하며 운동 수업 참석을 고려함.
test_69,"고객이 방 예약을 요청하고, 직원은 웨이트리스를 통해 안내 약속함. (고객: James)"
test_70,"고객이 75,000 평방미터의 공장을 방문하여 500명의 직원이 근무하는 생산 과정을 둘러보기로 함."
test_71,"Rebecca가 York Herald에서 인턴으로 시작해 주니어 로컬 뉴스 리포터로 2년간 근무한 후, 2006년 런던으로 이사하여 런던 주간지에서 새로운 기회를 찾음."
test_72,조별 발표를 위해 Tom과 Mary가 문구점에서 필요한 물품을 구매하기로 함.
test_73,Tom이 Mary에게 인터넷 구직 방법을 알려줌.
test_74,한 사람이 다른 사람에게 쇼핑 예산을 만들어 돈을 아끼려는 계획을 공유함.
test_75,Henry가 Jane에게 병원에 가는 방법을 알려줌.
test_76,"판매 예측 스프레드시트 사용법 설명을 요청하고, 다음 주 화요일 오후 2시 30분에의 사무실에서 만나기로 함."
test_77,"뉴욕 여행 안내 서비스에 대해 문의하고, '뉴욕에서의 친구' 서비스를 추천받음."
test_78,"회사 면접에서입사 제안 및 연봉, 복리후생에 대해 설명함."
test_79,"고객이 계약서 서명을 요청하고, 직원은 초안을 제공하여 검토 후 오늘 저녁에 최종 계약서를 준비하기로 함."
test_80,고객이 렌터카 회사에 국경 근처 사고 신고하고 구급차 및 경찰 요청함.
test_81,한 사람이 다른 사람에게 학교 보건실 가는 길을 물어보고 안내받음.
test_82,"손님이 방 변경을 요청하고, 직원은 내일 방이 준비될 것이라고 설명함."
test_83,"가를 픽업하고 호텔로 데려다주며, Mr. Wu의 저녁 연회와 관광을 제안함."
test_84,"낯선 사람이 길을 잃은 사람에게 올림픽 공원 근처임을 알려주고, 유이창으로 가는 방법을 설명함."
test_85,두 친구가 컴퓨터 문제를 겪고 수리공을 부르기로 함.
test_86,손님이 상사 어머니의 생신 선물로 시계를 구매하기로 결정함.
test_87,Mr. Fisher가 Ms. Ross에게 회의 준비를 논의함.
test_88,"Tom과 Mary가 러시아와 캐나다의 생활 속도에 대해 비교함. 러시아는 일상생활에서 빠르지만 공공 서비스는 느리고, 캐나다는 공공 서비스는 빠르지만 일상생활은 더 여유롭다고 함."
test_89,두 친구가 카리브해 여행 계획과 날씨에 대해 논의함.
test_90,엄마와 아이가 소풍에 가져갈 과일로 포도를 선택함.
test_91,고객이 경제형 차량 렌트를 위해 직원에게 운전면허증을 제시하고 서류 작성을 완료함.
test_92,두 사람이 공공장소에서의 미소에 대해 서로 다른 의견을 나눴음.
test_93,"회사 판매 실적이 크게 개선되어, 시장 점유율이 8%로 상승하고 작년 대비 120% 증가함. Wallace 사장의 리더십과 새로운 마케팅 전략이 성공에 기여함."
test_94,Tom이 지갑을 잃어버린 Mary에게 돈을 빌려주고 집까지 데려다주기로 함.
test_95,Lin과 Steven이 중국의 팁 문화에 대해 대화함.
test_96,빌이 룸메이트와 헤어져 이사했다고 말함. 룸메이트의 특징을 설명함.
test_97,호텔 직원이 Tom Wilson의 4박 숙박 및 식사 요금을 계산함.
